id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual,class
R00026,22,3,2,0,15.0,12,4,37037.24,8681.07,7
R00156,42,3,2,2,13.0,12,4,13198.95,4067.56,7
R00172,47,3,2,2,13.0,10,4,78055.83,12057.44,7
R00343,51,3,1,1,12.0,12,4,74422.93,10207.75,7
R00484,27,1,2,1,12.0,12,4,59805.86,1700.69,7
R00514,59,3,2,1,12.0,15,2,39732.01,3316.57,7
R00608,54,3,2,1,12.0,13,4,128168.3,26831.14,7
R00804,33,1,2,1,11.0,14,4,3233.08,1411.5,7
R00809,52,1,2,1,11.0,12,4,27208.28,9021.31,7
R00822,37,1,2,1,11.0,12,4,77432.56,10610.93,7
R00857,32,3,2,2,11.0,14,4,30074.68,3090.42,7
R00865,37,3,2,1,11.0,14,4,9605.88,3728.46,7
R00950,48,3,2,1,11.0,11,4,47758.52,3754.36,7
R01000,23,5,2,1,11.0,12,4,41351.88,4795.36,7
R01005,35,3,2,0,11.0,12,4,102304.29,20275.22,7
R01031,25,5,2,1,11.0,12,4,47968.95,3576.82,7
R01036,37,5,2,1,11.0,12,4,27041.84,7656.32,7
R01045,42,3,2,1,11.0,13,4,23972.87,2496.99,7
R01067,53,3,2,1,11.0,11,2,29054.56,6671.67,7
R01071,37,3,2,1,11.0,12,1,100700.24,13362.21,7
R01073,44,1,2,1,11.0,11,4,82009.77,14916.77,7
R01077,48,3,2,0,11.0,12,4,33253.11,6063.83,7
R01127,39,1,2,1,11.0,12,4,12453.52,2018.34,7
R01137,44,3,2,1,11.0,12,4,26749.22,4568.19,7
R01156,23,5,2,1,11.0,12,4,27492.76,18538.31,7
R01220,55,1,2,1,11.0,12,4,102238.04,17414.4,7
R01305,52,3,2,1,11.0,12,1,48803.51,9893.95,7
R01473,60,2,2,2,10.0,11,4,36935.47,10080.68,7
R01490,44,3,2,1,10.0,11,4,31397.1,10802.08,7
R01501,45,3,2,1,10.0,10,1,90704.19,12059.03,7
R01509,58,3,2,0,10.0,15,4,60206.85,11622.97,7
R01517,34,1,2,1,10.0,10,4,28890.4,3664.14,7
R01528,22,1,2,1,10.0,12,4,33170.64,10310.65,7
R01549,39,4,2,1,10.0,11,4,27392.78,3536.93,7
R01560,37,5,2,1,10.0,12,1,19174.45,4263.86,7
R01573,56,1,2,1,10.0,11,4,70270.77,6148.01,7
R01578,42,3,2,0,10.0,15,4,14445.31,1053.61,7
R01584,49,3,2,1,10.0,16,2,17886.18,994.86,7
R01586,32,1,2,1,10.0,13,4,36135.67,3769.22,7
R01596,34,5,2,1,10.0,11,4,33142.71,3266.11,7
