id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual,class
R00003,23,1,1,0,15.0,12,4,104012.06,4015.54,1
R00006,34,1,1,2,15.0,12,4,39722.24,12163.19,1
R00008,24,5,1,0,15.0,12,1,68338.92,5075.83,1
R00011,19,5,1,0,15.0,13,4,9148.06,1334.47,1
R00014,22,4,1,0,15.0,13,4,42006.61,8431.5,1
R00016,24,5,2,0,15.0,12,4,35022.15,8809.2,1
R00017,21,5,1,2,15.0,12,4,56123.23,15825.86,1
R00020,21,1,1,0,15.0,12,4,36223.73,7297.86,1
R00025,25,5,1,0,15.0,15,4,26196.33,658.74,1
R00028,27,5,1,0,15.0,13,4,63417.33,9510.57,1
R00029,29,5,1,0,15.0,15,4,70233.53,3829.01,1
R00040,22,5,1,0,15.0,15,4,28331.21,5993.97,1
R00042,27,5,1,0,15.0,15,4,70412.19,5675.44,1
R00045,23,5,1,0,15.0,12,4,24232.62,1401.37,1
R00046,22,1,1,0,15.0,12,4,38747.04,3346.03,1
R00048,20,1,1,0,15.0,12,4,48900.76,3776.17,1
R00049,25,5,2,0,15.0,12,4,33527.0,2194.6,1
R00050,28,5,1,0,15.0,13,4,62790.65,4364.91,1
R00052,23,5,1,0,15.0,15,4,38071.37,9203.46,1
R00053,25,5,1,0,15.0,12,4,48608.52,16597.87,1
R00056,30,3,1,0,15.0,13,4,42503.95,3884.09,1
R00058,24,5,1,1,15.0,12,4,51233.68,3634.91,1
R00060,20,4,1,0,15.0,12,4,32961.02,2670.99,1
R00061,26,5,1,0,15.0,16,4,75203.77,11756.05,1
R00063,21,5,1,0,15.0,13,4,46261.75,8172.96,1
R00066,25,1,1,0,15.0,12,4,72153.65,10737.54,1
R00068,23,1,1,0,15.0,12,4,40868.77,2358.2,1
R00070,22,5,2,0,14.0,12,4,49599.44,21926.36,1
R00072,38,5,1,1,14.0,12,4,50071.16,11733.21,1
R00075,17,5,1,1,14.0,11,4,102622.46,10095.45,1
R00078,44,5,1,0,14.0,0,4,24526.1,2052.46,1
R00083,48,4,1,0,14.0,10,4,50386.1,23350.05,1
R00086,46,5,1,0,14.0,0,4,47734.83,8957.7,1
R00087,48,5,1,0,14.0,14,4,21144.19,7881.84,1
R00088,68,1,1,0,14.0,12,4,61741.63,14543.74,1
R00091,45,1,1,1,14.0,12,4,38697.61,1569.77,1
R00097,28,5,1,0,14.0,11,4,24628.92,16326.16,1
R00103,33,5,2,2,14.0,12,4,17451.93,2821.03,1
R00105,34,5,1,2,14.0,11,4,45460.9,10697.44,1
R00107,20,5,1,0,14.0,13,4,5983.89,778.22,1
R00108,22,5,1,0,14.0,13,4,5255.69,3046.86,1
R00112,20,5,1,0,14.0,13,4,11931.18,1866.21,1
R00114,47,1,1,0,14.0,12,4,55876.88,9181.48,1
