id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual,class
R00096,30,1,2,2,14.0,15,4,39603.16,1807.46,2
R00118,36,1,2,2,14.0,11,4,28102.04,18388.66,2
R00119,51,1,2,1,14.0,11,1,66573.8,3853.5,2
R00121,35,1,2,2,14.0,15,1,56223.13,9137.62,2
R00146,35,1,2,2,13.0,12,4,19394.85,5499.66,2
R00149,43,1,2,4,13.0,10,4,68625.38,7237.67,2
R00167,35,1,2,5,13.0,15,1,60873.32,4344.29,2
R00168,33,4,2,2,13.0,10,4,24741.48,2616.29,2
R00204,25,1,2,1,13.0,15,5,128729.33,8493.37,2
R00208,51,4,2,2,13.0,10,4,20490.06,7479.63,2
R00217,47,1,2,2,13.0,11,4,41177.89,5930.77,2
R00227,36,1,2,3,13.0,15,5,16428.41,5262.92,2
R00239,46,1,2,1,13.0,13,1,9066.92,4514.05,2
R00240,46,1,2,1,13.0,13,1,191265.9,139028.08,2
R00246,34,1,2,2,13.0,11,2,36464.13,16633.55,2
R00275,45,1,2,4,12.0,15,1,143169.46,14389.11,2
R00308,32,1,2,4,12.0,11,1,37209.17,23324.38,2
R00358,28,1,2,2,12.0,13,4,38142.13,7922.59,2
R00397,48,1,2,2,12.0,13,4,89496.85,6052.83,2
R00510,23,1,2,2,12.0,13,2,25353.53,2882.48,2
R00515,32,1,2,2,12.0,14,1,121191.07,11046.88,2
R00540,50,2,2,2,12.0,15,1,43990.24,11959.18,2
R00568,29,1,2,3,12.0,11,4,27352.08,8729.39,2
R00612,42,1,2,2,12.0,15,4,82938.82,5810.39,2
R00631,21,1,2,2,12.0,12,4,33954.16,9970.67,2
R00771,27,1,2,3,11.0,14,1,92190.02,11854.99,2
R00773,60,4,2,2,11.0,11,2,42036.52,6521.69,2
R00783,42,1,2,2,11.0,12,1,45044.76,3353.91,2
R00816,50,4,2,2,11.0,10,4,15096.68,6716.18,2
R00837,36,1,2,3,11.0,11,4,47239.92,7046.72,2
R00880,48,1,2,3,11.0,10,4,75209.27,15700.32,2
R00881,26,1,2,2,11.0,11,4,16908.04,11739.61,2
R00900,29,1,2,1,11.0,15,1,102956.18,12875.17,2
R00908,30,1,2,2,11.0,12,4,54221.03,9644.5,2
R00915,31,1,2,2,11.0,12,1,90357.44,15103.42,2
R00919,25,1,2,3,11.0,11,4,22257.53,3911.62,2
R00927,46,1,2,2,11.0,11,4,66318.78,11863.05,2
R00943,52,1,2,2,11.0,12,1,57723.01,2232.59,2
R00948,46,3,2,2,11.0,13,1,94497.06,3572.29,2
R00962,33,1,2,3,11.0,14,1,95783.16,21176.84,2
R00996,41,5,2,2,11.0,12,1,35139.54,6125.34,2
R01003,37,1,2,2,11.0,13,4,42273.13,8269.5,2
R01013,37,1,2,2,11.0,10,4,19383.41,1744.87,2
R01020,34,5,2,2,11.0,11,5,3920.93,470.23,2
R01026,51,1,2,2,11.0,13,1,67752.07,22729.22,2
R01075,33,1,2,2,11.0,14,1,33999.06,7452.34,2
R01082,43,1,2,1,11.0,11,1,78396.1,15118.09,2
R01083,32,1,2,2,11.0,15,2,133416.52,14968.48,2
R01091,37,1,2,2,11.0,12,1,57240.33,11015.83,2
R01093,32,4,2,2,11.0,10,4,25074.09,4178.98,2
R01110,44,1,2,2,11.0,13,1,98578.52,8062.6,2
R01155,53,1,2,1,11.0,12,1,110721.91,14984.59,2
R01164,27,1,2,2,11.0,13,1,100904.54,10305.74,2
R01175,39,1,2,2,11.0,13,4,60277.92,58673.17,2
R01254,41,3,2,2,11.0,13,1,63615.14,6257.41,2
R01270,56,1,2,1,11.0,15,1,35745.75,18474.94,2
R01272,44,4,2,2,11.0,11,4,36579.79,9268.04,2
R01274,52,1,2,1,11.0,15,1,5186.11,15971.78,2
R01279,32,1,2,2,11.0,12,1,68492.3,18114.43,2
R01286,48,1,2,1,11.0,11,1,42747.5,6998.75,2
R01309,45,1,2,3,11.0,11,1,67407.13,23416.01,2
R01329,35,1,2,2,11.0,11,4,33665.08,7023.63,2
R01405,27,1,2,3,11.0,12,1,44184.13,11940.52,2
R01452,48,1,2,1,11.0,13,1,37881.59,3382.96,2
R01481,40,1,2,2,10.0,15,1,161527.8,30515.28,2
R01487,43,1,2,1,10.0,14,1,47113.15,6714.93,2
R01511,36,1,2,2,10.0,12,1,107255.94,17902.2,2
R01539,43,2,2,2,10.0,12,1,73970.79,15145.26,2
R01542,30,1,2,3,10.0,13,1,48659.02,9560.57,2
R01545,54,1,2,2,10.0,13,1,149032.58,25600.37,2
R01561,39,1,2,2,10.0,14,1,95720.54,11608.49,2
R01564,50,1,2,2,10.0,14,1,209184.4,15826.78,2
R01569,39,1,2,6,10.0,13,1,50534.45,7390.83,2
R01588,50,1,2,1,10.0,11,1,279466.9,6442.06,2
R01600,41,1,2,2,10.0,10,4,63118.63,8214.01,2
R01621,44,1,2,2,10.0,15,2,18197.59,1312.33,2
R01630,57,4,2,3,10.0,10,1,38204.95,2453.06,2
R01634,51,1,2,1,10.0,14,1,65382.68,4299.59,2
R01641,42,1,2,2,10.0,13,1,243759.78,11258.67,2
R01656,33,1,2,1,10.0,13,1,44055.39,10227.33,2
R01665,48,1,2,1,10.0,13,1,74625.17,10697.51,2
R01669,20,1,2,1,10.0,13,1,65833.73,25180.26,2
R01681,32,1,2,2,10.0,13,1,43607.33,7738.3,2
R01688,27,1,2,2,10.0,15,4,70270.87,11979.7,2
R01699,40,1,2,3,10.0,11,1,57898.44,19637.34,2
R01706,42,5,2,2,10.0,15,1,60074.67,13378.62,2
R01719,35,1,2,2,10.0,13,4,32796.31,11717.91,2
R01722,32,1,2,3,10.0,16,1,13967.52,4293.45,2
R01736,40,1,2,2,10.0,15,1,266582.18,11125.91,2
R01748,33,1,2,2,10.0,10,4,28434.15,8563.54,2
R01751,34,4,2,2,10.0,15,4,18527.03,6829.43,2
R01789,36,1,2,2,10.0,15,1,132703.63,3862.94,2
R01810,29,5,2,2,10.0,13,1,61256.67,3983.4,2
R01812,39,1,2,1,10.0,14,1,215748.33,6916.54,2
R01842,33,1,2,2,10.0,15,1,53976.39,6860.65,2
R01844,32,1,2,2,10.0,12,1,61325.34,15162.12,2
R01854,56,1,2,1,10.0,13,1,31656.93,7192.01,2
R01865,53,1,2,2,10.0,11,1,57753.63,13207.39,2
R01883,40,1,2,1,10.0,13,1,100172.91,18567.9,2
R01892,47,3,2,2,10.0,15,1,141486.4,22408.28,2
R01895,43,1,2,2,10.0,11,1,98802.55,16206.66,2
