id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual,class
R00002,34,1,1,2,15.0,15,4,110103.44,5917.2,0
R00004,20,1,1,0,15.0,12,1,43845.53,6127.18,0
R00005,41,1,1,0,15.0,16,1,162880.57,54354.69,0
R00007,29,1,1,1,15.0,15,4,60996.61,9705.8,0
R00009,29,1,1,0,15.0,13,4,56455.38,9102.09,0
R00015,47,1,1,0,15.0,12,1,148145.61,33251.62,0
R00018,57,1,1,0,15.0,15,1,133358.56,15965.64,0
R00021,28,1,1,2,15.0,13,1,60935.67,6271.29,0
R00023,23,1,1,0,15.0,13,4,37287.3,2802.34,0
R00024,37,1,1,0,15.0,15,4,54133.53,2910.92,0
R00027,31,1,1,0,15.0,15,1,69211.23,9261.23,0
R00030,44,1,1,0,15.0,14,4,60211.25,1851.37,0
R00031,56,1,1,0,15.0,16,1,326497.6,19936.17,0
R00032,32,1,1,2,15.0,14,1,87893.9,37018.9,0
R00034,46,1,1,1,15.0,15,1,200135.48,25873.08,0
R00035,52,1,1,0,15.0,16,1,125449.62,15287.67,0
R00038,47,1,1,0,15.0,16,4,88842.54,55382.2,0
R00041,33,1,1,0,15.0,15,4,315587.94,17063.12,0
R00043,27,1,1,0,15.0,13,4,54496.54,12568.34,0
R00044,29,1,1,0,15.0,14,1,100317.2,9353.76,0
R00047,22,1,1,0,15.0,14,4,51767.88,39769.49,0
R00051,45,1,1,0,15.0,12,1,108043.99,22696.12,0
R00054,26,1,1,0,15.0,14,4,52036.24,10080.57,0
R00055,48,1,1,2,15.0,15,1,148380.6,14625.58,0
R00057,33,1,1,2,15.0,13,4,91360.76,6870.86,0
R00059,28,1,1,0,15.0,13,1,58350.12,3914.69,0
R00062,28,4,1,0,15.0,14,2,50418.12,9270.24,0
R00065,28,1,1,0,15.0,13,4,47042.8,17296.14,0
R00071,70,1,1,0,14.0,12,1,41281.07,10267.0,0
R00073,60,1,1,3,14.0,11,4,56602.72,17671.89,0
R00076,57,1,1,0,14.0,14,2,65628.34,2220.73,0
R00077,28,1,1,0,14.0,16,4,93252.76,6889.0,0
R00079,56,1,1,0,14.0,10,4,26255.5,2615.75,0
R00080,81,2,1,0,14.0,14,2,77235.79,14643.89,0
R00082,38,1,1,4,14.0,13,1,113111.58,16110.75,0
R00084,38,1,1,2,14.0,12,1,59478.15,12825.43,0
R00093,60,1,1,2,14.0,15,1,40247.46,14198.35,0
R00095,50,1,1,1,14.0,15,1,87052.81,13407.15,0
R00099,66,1,1,0,14.0,13,1,53978.49,7775.49,0
R00101,54,1,2,0,14.0,15,1,23327.53,3675.92,0
R00104,35,1,1,0,14.0,15,1,61298.45,4421.55,0
R00106,46,1,1,4,14.0,0,4,47322.33,7593.81,0
R00109,47,1,1,0,14.0,13,2,28782.78,7715.83,0
R00111,29,1,1,1,14.0,15,4,28827.66,5459.15,0
R00115,78,2,1,0,14.0,13,1,21576.03,4875.96,0
R00117,25,5,2,0,14.0,15,1,36297.02,4420.24,0
R00120,49,1,1,0,14.0,12,1,104609.73,6398.32,0
R00122,75,1,1,0,14.0,16,2,61619.79,22807.35,0
R00125,53,3,1,0,14.0,12,1,-18583.31,5023.43,0
R00127,58,1,1,0,14.0,11,2,49278.8,2467.2,0
R00128,37,1,1,3,14.0,15,1,80308.03,5093.05,0
R00129,57,1,1,0,13.0,12,1,115106.71,22093.2,0
R00130,45,1,1,0,13.0,15,4,92753.01,6710.81,0
R00131,68,1,2,0,13.0,13,1,32598.46,5928.02,0
R00134,42,1,1,4,13.0,15,1,400127.36,13036.97,0
R00136,50,1,1,2,13.0,15,2,289304.34,40919.93,0
R00137,75,4,2,0,13.0,10,1,16560.38,3704.92,0
R00140,33,1,1,5,13.0,10,4,47103.18,2779.53,0
R00141,54,1,1,0,13.0,14,5,53594.1,16028.49,0
R00142,58,1,2,0,13.0,13,1,219871.52,15491.34,0
R00143,52,3,1,0,13.0,10,2,5489.84,3405.3,0
R00147,27,1,2,0,13.0,15,1,96540.69,10536.45,0
R00151,60,2,1,0,13.0,12,1,303.32,3180.93,0
R00153,60,1,1,0,13.0,11,2,179317.73,17929.97,0
R00157,69,1,1,0,13.0,16,1,106545.81,21493.51,0
R00159,58,1,1,0,13.0,10,2,53272.63,6623.99,0
R00163,27,1,1,0,13.0,16,1,146387.92,9343.25,0
R00165,69,1,1,0,13.0,12,1,118284.02,23383.59,0
R00166,30,1,1,0,13.0,15,1,63867.69,2598.23,0
R00170,51,1,1,0,13.0,15,1,119504.89,4928.62,0
R00177,55,1,1,0,13.0,15,1,184615.45,19869.6,0
R00181,49,1,1,2,13.0,11,4,22220.95,1335.98,0
R00184,46,1,2,0,13.0,13,1,195725.09,23384.99,0
R00186,28,1,1,2,13.0,15,4,49431.1,22960.45,0
R00187,55,1,1,0,13.0,15,1,107383.07,3231.5,0
R00191,70,1,1,0,13.0,16,1,156782.79,18645.99,0
R00193,46,1,1,2,13.0,13,1,101053.5,25505.54,0
R00203,47,1,1,3,13.0,14,4,143924.72,67627.32,0
R00219,72,1,1,0,13.0,13,2,240167.08,6134.48,0
R00224,38,1,1,2,13.0,12,5,55846.73,3145.89,0
R00225,59,3,1,0,13.0,16,1,219023.23,4366.61,0
R00230,68,1,1,0,13.0,12,1,146515.51,6042.22,0
R00235,62,1,1,0,13.0,13,2,82347.35,24789.81,0
R00238,66,1,1,0,13.0,14,2,28667.43,15622.24,0
R00241,65,1,1,0,13.0,15,2,64300.05,7041.58,0
R00242,33,1,1,2,13.0,15,1,80150.26,3119.22,0
R00243,37,1,1,4,13.0,10,1,55384.17,2824.6,0
R00249,65,1,1,0,13.0,10,2,83111.31,11760.42,0
R00253,31,1,1,1,13.0,15,1,114189.19,6685.71,0
R00254,33,1,1,0,13.0,15,4,63196.68,4000.68,0
R00259,42,1,1,0,12.0,14,1,60798.85,8832.06,0
R00266,45,1,1,2,12.0,11,4,74203.14,8493.71,0
R00269,28,1,1,2,12.0,13,4,23465.36,6490.28,0
R00272,38,1,1,3,12.0,12,1,74851.25,8337.59,0
R00273,48,1,1,0,12.0,12,1,128832.29,12167.6,0
R00276,54,1,1,0,12.0,12,1,126534.95,15823.25,0
R00277,60,1,1,0,12.0,14,2,44362.81,1680.36,0
R00278,38,1,1,3,12.0,11,4,65477.87,3217.38,0
R00281,56,1,1,0,12.0,13,1,137723.96,6914.74,0
R00286,52,1,1,1,12.0,15,1,120370.6,5244.98,0
R00291,50,4,1,1,12.0,15,2,98676.92,7401.12,0
R00295,56,1,1,0,12.0,12,1,127944.53,14011.43,0
R00296,37,3,1,0,12.0,13,1,56885.37,8374.0,0
R00300,50,3,1,0,12.0,12,1,71358.87,13723.8,0
R00306,62,3,1,0,12.0,13,2,30205.67,17669.19,0
R00307,45,1,1,3,12.0,13,1,210090.68,23268.89,0
R00309,35,1,1,3,12.0,12,1,116562.94,10817.98,0
R00310,52,1,1,0,12.0,15,1,44704.64,11865.94,0
R00314,29,5,1,0,12.0,13,1,63109.62,6898.87,0
R00315,29,1,1,2,12.0,13,1,200852.29,10962.35,0
R00316,69,1,1,0,12.0,13,4,49991.19,12582.97,0
R00318,71,3,1,0,12.0,12,1,52131.71,3202.07,0
R00320,39,1,1,0,12.0,15,1,54341.0,3533.15,0
R00323,53,1,1,0,12.0,13,1,120230.12,3921.88,0
R00324,65,2,1,0,12.0,16,2,12340.16,1198.53,0
R00325,23,1,1,0,12.0,13,4,20198.21,1244.21,0
R00327,64,1,1,0,12.0,12,1,157755.35,4259.55,0
R00328,49,1,1,0,12.0,13,1,225191.21,3250.83,0
R00330,27,1,1,2,12.0,11,1,1525.28,2796.95,0
R00331,59,1,1,2,12.0,15,1,38739.96,4802.42,0
R00337,36,1,1,3,12.0,11,4,16694.26,2937.69,0
R00338,37,1,1,4,12.0,12,1,106450.82,7135.58,0
R00339,66,1,1,0,12.0,13,2,110579.62,3233.62,0
R00341,55,1,1,3,12.0,12,1,104375.72,3295.04,0
R00342,40,1,1,2,12.0,14,1,92252.81,4609.85,0
R00348,48,3,1,0,12.0,15,4,31292.22,11214.67,0
R00349,27,1,1,2,12.0,14,1,70146.02,23917.69,0
R00350,41,5,1,0,12.0,14,1,145746.9,20093.49,0
R00352,63,3,1,0,12.0,12,1,22899.75,8731.76,0
R00354,71,1,1,0,12.0,11,2,67727.86,8714.34,0
R00356,57,1,2,0,12.0,15,1,69669.6,7168.06,0
R00357,60,1,1,0,12.0,15,1,134114.37,15424.66,0
R00364,50,1,1,2,12.0,12,1,219477.29,11815.53,0
R00366,43,1,1,2,12.0,11,2,48108.99,5257.31,0
R00372,38,1,1,3,12.0,14,4,28238.58,6573.14,0
R00375,57,3,1,0,12.0,13,1,50719.86,5468.1,0
R00376,51,3,1,0,12.0,13,1,87302.17,5317.57,0
R00377,54,2,1,0,12.0,15,4,12498.27,1674.6,0
R00380,51,1,1,0,12.0,14,1,70685.67,2507.35,0
R00381,36,1,1,2,12.0,12,1,60422.28,5220.67,0
R00382,58,1,1,0,12.0,12,1,99178.07,4660.17,0
R00384,64,4,1,0,12.0,15,1,58949.07,29294.06,0
R00391,48,1,1,4,12.0,10,1,66690.42,6533.68,0
