id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual,class
R00001,47,5,2,0,15.0,15,4,125456.68,6839.04,3
R00012,29,3,2,0,15.0,14,4,52843.9,7574.14,3
R00022,36,5,2,3,15.0,13,4,44874.95,5106.34,3
R00033,25,1,2,1,15.0,13,4,105037.83,11421.14,3
R00036,37,5,2,0,15.0,13,4,45096.78,5509.64,3
R00067,18,5,2,0,15.0,13,6,1923.42,912.38,3
R00085,67,3,2,0,14.0,14,5,26372.93,1421.58,3
R00090,55,5,2,0,14.0,13,4,28865.71,3145.95,3
R00098,33,5,2,0,14.0,15,4,30524.48,5531.12,3
R00110,54,5,2,1,14.0,15,4,44718.97,6949.26,3
R00148,35,3,2,0,13.0,11,4,41067.86,10103.02,3
R00180,51,3,2,0,13.0,14,4,12406.85,1560.46,3
R00183,62,3,2,0,13.0,13,2,22421.15,4284.88,3
R00190,43,1,2,0,13.0,11,4,97204.68,14341.18,3
R00201,30,5,2,0,13.0,15,4,6439.44,4231.45,3
R00215,44,3,2,0,13.0,15,4,38358.55,2799.77,3
R00221,40,4,2,0,13.0,13,2,17988.7,937.24,3
R00237,54,4,2,0,13.0,13,5,34254.34,5227.0,3
R00247,65,5,2,0,13.0,13,2,20152.62,1671.74,3
R00260,56,4,2,0,12.0,14,4,24347.95,7497.51,3
R00264,59,3,2,3,12.0,13,4,68449.58,7435.4,3
R00282,45,5,2,4,12.0,13,4,26098.75,2630.43,3
R00303,69,2,2,0,12.0,13,2,27876.75,9742.01,3
R00329,54,1,2,0,12.0,13,4,29143.14,3079.35,3
R00340,46,5,2,0,12.0,11,4,25063.53,2347.86,3
R00359,27,5,2,2,12.0,14,4,33935.4,9115.4,3
R00388,32,5,2,1,12.0,11,4,25039.81,1667.17,3
R00402,45,3,2,0,12.0,13,4,33092.61,6974.2,3
R00404,70,4,2,0,12.0,13,2,34038.46,4263.66,3
R00456,28,5,2,4,12.0,13,1,80040.17,32304.74,3
R00522,26,5,2,0,12.0,15,4,96281.93,3401.94,3
R00528,24,1,2,1,12.0,13,4,29600.93,1648.5,3
R00542,72,3,2,0,12.0,11,4,21919.24,2463.48,3
R00588,54,5,2,0,12.0,14,2,53356.91,5088.12,3
