id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual,class
R00081,63,1,1,0,14.0,12,2,61752.45,9103.21,6
R00089,43,1,1,0,14.0,12,2,45388.91,3756.99,6
R00100,61,1,2,0,14.0,11,2,15090.22,1498.85,6
R00150,68,1,2,0,13.0,13,2,40143.25,5384.23,6
R00152,57,1,2,0,13.0,13,2,37812.33,13603.48,6
R00155,62,1,1,0,13.0,12,2,65171.06,18723.53,6
R00158,59,1,2,0,13.0,15,2,37117.1,11391.65,6
R00173,79,2,2,0,13.0,15,2,51388.59,11488.98,6
R00182,62,1,1,0,13.0,12,2,26569.6,1676.61,6
R00194,52,1,2,0,13.0,10,2,51778.13,4418.1,6
R00195,54,1,2,0,13.0,12,2,193195.64,16925.19,6
R00200,38,1,2,3,13.0,12,4,38674.7,2277.68,6
R00206,52,1,1,0,13.0,12,2,88375.66,8797.38,6
R00209,35,1,2,4,13.0,12,2,47374.44,11739.72,6
R00212,47,1,1,0,13.0,12,2,45764.57,7375.76,6
R00220,47,1,2,0,13.0,15,2,179946.23,4146.37,6
R00232,51,1,2,0,13.0,12,2,144257.13,16152.35,6
R00234,57,1,2,0,13.0,12,2,4707.73,22837.78,6
R00257,43,3,2,0,12.0,12,2,205982.69,13617.76,6
R00261,54,1,1,0,12.0,12,2,89252.9,18371.56,6
R00292,53,1,1,0,12.0,12,2,66888.33,15247.8,6
R00297,62,1,1,0,12.0,12,2,98043.34,15604.8,6
R00373,40,1,2,1,12.0,12,2,82452.08,8264.23,6
R00392,58,1,1,0,12.0,12,2,158730.29,6153.18,6
R00405,43,1,2,0,12.0,14,2,110457.59,16397.18,6
R00410,47,1,1,0,12.0,12,2,80423.21,10802.01,6
R00433,26,1,2,3,12.0,12,5,34109.54,3438.64,6
R00434,43,1,1,2,12.0,12,2,68523.98,11580.58,6
R00445,30,1,1,2,12.0,12,2,72029.25,3219.5,6
R00482,53,1,2,0,12.0,12,1,94534.96,10031.43,6
R00487,58,1,2,0,12.0,12,1,100943.67,14449.35,6
R00494,64,1,1,0,12.0,12,2,31610.59,7446.57,6
R00500,59,1,2,0,12.0,16,2,102425.07,9636.59,6
R00512,29,1,1,0,12.0,12,2,4941.54,14903.69,6
R00516,39,1,2,0,12.0,12,2,32713.98,4542.74,6
R00547,62,1,1,0,12.0,12,2,134717.99,9434.07,6
R00548,63,1,1,0,12.0,12,2,34513.78,5212.82,6
R00561,61,1,1,0,12.0,12,2,54546.83,13141.72,6
R00575,35,1,2,2,12.0,12,2,45003.6,8224.0,6
R00600,52,1,1,0,12.0,12,2,60272.81,2015.29,6
R00634,61,1,1,0,12.0,12,2,142679.03,15993.31,6
R00657,56,1,1,0,12.0,12,2,59082.87,5336.38,6
R00662,63,1,1,0,12.0,12,2,171627.0,7696.19,6
R00712,33,1,1,3,12.0,12,2,87429.52,9473.69,6
R00751,63,1,1,0,11.0,12,2,71997.73,6287.5,6
R00760,51,3,2,0,11.0,12,2,40379.8,7350.07,6
R00775,56,3,2,0,11.0,16,2,2604.24,7710.27,6
R00778,46,1,2,0,11.0,10,2,42534.27,3628.99,6
R00796,64,2,2,0,11.0,10,2,18569.06,1709.26,6
R00805,26,1,2,0,11.0,10,2,47855.49,2250.25,6
R00806,54,3,2,0,11.0,12,2,62479.35,7002.86,6
R00812,56,1,1,0,11.0,12,2,83787.65,9541.01,6
R00813,62,1,1,0,11.0,12,2,122017.12,9132.45,6
R00814,58,1,1,0,11.0,12,2,80245.06,13148.68,6
R00842,52,1,2,0,11.0,16,2,41446.99,7423.24,6
R00853,53,1,2,0,11.0,15,2,134354.98,9382.6,6
R00854,79,1,2,0,11.0,15,2,32268.88,3115.01,6
R00862,50,3,2,0,11.0,12,1,50129.58,2805.84,6
R00879,59,3,2,0,11.0,12,2,20436.41,2876.63,6
R00883,52,1,2,0,11.0,12,1,74299.29,10797.38,6
R00889,47,4,2,0,11.0,12,1,34962.99,8524.41,6
R00929,58,1,1,0,11.0,12,2,114057.19,6257.75,6
R00938,56,1,2,3,11.0,12,2,97793.26,25283.77,6
R00944,69,2,2,0,11.0,12,2,50374.81,3759.02,6
R00961,54,1,2,0,11.0,15,2,53196.59,8167.44,6
R00966,51,1,1,0,11.0,12,2,99696.01,10236.24,6
R00967,50,1,2,0,11.0,10,2,68087.19,19492.27,6
R00971,63,3,2,0,11.0,14,2,49087.28,8729.75,6
R00976,55,3,2,0,11.0,12,2,23381.78,5019.09,6
R00980,48,1,2,2,11.0,12,2,72819.26,16664.16,6
R00998,66,1,2,0,11.0,16,2,273718.08,16083.9,6
R01009,65,1,2,0,11.0,12,2,61673.51,3822.22,6
R01012,65,2,2,0,11.0,12,2,37867.92,1536.44,6
